BHID,FROM,TO,X,Y,Z,P2O5,CAO,FE2O3,SIO2,AL2O3,MGO,TIO2,NB2O5,BAO,S,SRO,K2O,NA2O,MNO,CEO2,LA2O3,ND2O3,PR2O3,LOI,RCP,P2O5AP,LITO
DH-0001,0,3.4,678.4034,1906.186,410.8728,1.4,0.11,41.3,5.61,14,0.54,24.2,0.21,0.24,-,-,0.04,0.1,0.26,0.42,0.2,0.1,0.04,8.12,0.079,0.081,Solo
DH-0001,3.4,5,678.2769,1906.266,408.3772,1.41,0.09,42.3,6.22,14.3,0.58,24.7,0.22,0.26,-,-,0.04,0.1,0.28,0.41,0.2,0.1,0.04,6.78,0.064,0.067,Argilito
DH-0001,5,8.65,678.1301,1906.344,405.7575,2.17,0.1,41.2,8.36,13.1,0.43,21.8,0.2,0.89,-,-,0.04,0.1,0.26,0.45,0.22,0.16,0.04,7.13,0.046,0.074,Argilito
DH-0001,8.65,12,677.9395,1906.447,402.2642,4.77,0.16,41.6,10.1,13.5,0.13,13,0.14,3.12,-,-,0.03,0.1,0.83,0.56,0.29,0.27,0.06,9.52,0.034,0.119,Bebedourito
DH-0001,12,15,677.7742,1906.552,399.0953,3.57,0.17,44.2,10.7,12,0.14,13.6,0.14,1.87,-,-,0.01,0.1,0.55,0.64,0.3,0.25,0.07,9.48,0.048,0.126,Bebedourito
DH-0001,15,18,677.616,1906.664,396.1015,2.97,0.16,42.1,12.3,12.9,0.12,14.8,0.14,1.28,-,-,0.04,0.1,0.24,0.3,0.18,0.13,0.04,9.44,0.054,0.119,Bebedourito
DH-0001,18,21,677.4538,1906.784,393.1083,2.67,0.15,45.7,10.6,11,0.1,14.6,0.19,1.15,-,-,0.02,0.1,0.63,0.38,0.17,0.14,0.04,8.89,0.056,0.111,Bebedourito
DH-0001,21,24,677.2924,1906.905,390.1151,3.43,0.19,42.8,10.6,12.2,0.14,15.2,0.13,1.38,-,-,0.09,0.1,0.56,0.45,0.21,0.2,0.05,9.23,0.055,0.141,Bebedourito
DH-0001,24,27,677.1375,1907.029,387.1217,3.04,0.16,44.8,10.7,12.1,0.1,14.2,0.12,1.18,-,-,0.04,0.1,0.83,0.24,0.13,0.11,0.03,9.77,0.053,0.119,Bebedourito
DH-0001,27,30,676.9813,1907.164,384.1288,2.88,0.13,47.2,10.4,11.1,0.1,12.3,0.11,1.07,-,-,0.02,0.1,1.16,0.42,0.2,0.15,0.04,9.41,0.045,0.096,Bebedourito
DH-0001,30,33,676.8168,1907.304,381.1366,3.76,0.18,45,9.37,10.8,0.1,13.1,0.16,1.09,-,-,0.02,0.1,1,1,0.42,0.41,0.11,9.52,0.048,0.133,Bebedourito
DH-0001,33,36,676.6492,1907.443,378.1445,3.29,0.21,47.8,11.1,12,0.1,10.1,0.1,1.04,-,-,0.06,0.1,1.31,0.25,0.13,0.1,0.03,10.05,0.064,0.156,Bebedourito
DH-0001,36,39,676.4837,1907.582,375.1523,3.45,0.25,48.7,11.9,11.9,0.13,10,0.12,1.04,-,-,0.04,0.1,1.1,0.36,0.19,0.13,0.04,9.54,0.072,0.185,Bebedourito
DH-0001,39,42,676.3145,1907.722,372.1604,3.51,0.28,41.1,16.8,11,0.15,10.8,0.14,0.83,-,-,0.08,0.1,2.11,1.02,0.47,0.34,0.1,9.26,0.08,0.207,Bebedourito
DH-0001,42,46.35,676.1013,1907.885,368.4952,2.7,0.21,38.7,21,10.1,0.19,12.1,0.13,0.49,-,-,0.04,0.1,1.14,1.23,0.59,0.35,0.11,7.75,0.078,0.156,Bebedourito
DH-0001,46.35,49,675.898,1908.031,365.0041,5.1,0.38,28.7,25.8,6.7,0.15,10.6,0.16,0.61,-,-,0.08,0.1,1.53,1.23,1.17,0.95,0.12,7.23,0.075,0.281,Bebedourito
DH-0001,49,52,675.7288,1908.151,362.1868,3.03,0.29,41.4,16.6,9.09,0.12,16.5,0.15,0.41,-,-,0.15,0.1,0.82,0.59,0.25,0.21,0.06,7.97,0.096,0.215,Bebedourito
DH-0001,52,55.65,675.5174,1908.298,358.8717,2.78,0.3,37.4,23,10.6,0.18,13.4,0.18,0.49,-,-,0.14,0.1,0.94,0.31,0.16,0.12,0.03,8.89,0.108,0.222,Bebedourito
DH-0001,55.65,58,675.3154,1908.426,355.8813,3.31,0.79,43.1,14.9,7.1,0.57,18.2,0.17,0.58,-,-,0.24,0.1,0.99,0.33,0.16,0.13,0.03,7.28,0.239,0.585,Bebedourito
DH-0001,58,61.15,675.1291,1908.539,353.14,3.88,3.95,29.6,24.2,9.23,2.26,14,0.1,0.31,-,-,0.9,0.1,0.44,0.33,0.17,0.12,0.03,7.2,1.018,2.926,Bebedourito
DH-0001,61.15,64,674.9316,1908.661,350.1489,5.97,9.47,28.6,24.8,4.4,4.36,11.3,0.09,0.14,-,-,1.32,0.1,0.42,0.32,0.17,0.12,0.03,5.52,1.586,5.97,Bebedourito
DH-0001,64,67,674.74,1908.783,347.2328,2.54,4.83,29.7,30.8,5.95,5.14,11,0.12,0.26,-,-,1.68,0.1,0.44,0.16,0.07,0.07,0.02,6.49,1.902,2.54,Bebedourito
DH-0001,67,70,674.5391,1908.909,344.2421,5.64,8.44,25,33,4.13,3.36,8.89,0.15,0.34,-,-,1.58,0.1,0.74,0.48,0.27,0.18,0.05,5.17,1.496,5.64,Bebedourito
DH-0001,70,73.75,674.3106,1909.056,340.8781,7.42,12.5,23.8,31.2,5.22,4.18,7.39,0.08,0.17,-,-,1.19,0.1,0.4,0.18,0.09,0.07,0.02,5.27,1.685,7.42,Bebedourito
DH-0001,73.75,77,674.0708,1909.212,337.3898,3.4,16.1,15.1,39,5.5,9.36,3.87,0.05,0.09,-,-,2.44,0.45,0.23,0.05,0.03,0.02,0.01,4.45,4.735,3.4,Bebedourito
DH-0001,77,80,673.8544,1909.351,334.2754,2.75,20.1,13.7,35.1,3.74,11.3,4.19,0.05,0.05,-,-,0.37,0.47,0.2,0.04,0.02,0.02,0,8.03,7.309,2.75,Bebedourito
DH-0001,80,83,673.6397,1909.486,331.2862,1.44,16.8,13.3,38,3.34,11.6,3.71,0.05,0.1,-,-,1.56,0.74,0.23,0.2,0.09,0.07,0.02,9.44,11.667,1.44,Bebedourito
DH-0001,83,86,673.423,1909.623,328.2971,1.51,18.9,11.8,37.2,2.48,10.5,4.22,0.06,0.08,-,-,1.19,0.96,0.24,0.19,0.1,0.06,0.02,10.3,12.517,1.51,Bebedourito
DH-0001,86,89,673.2023,1909.761,325.3084,2.78,15.6,13.3,34.2,5.47,10.3,3.92,0.05,0.18,-,-,2.6,0.87,0.29,0.22,0.1,0.07,0.02,9.88,5.612,2.78,Bebedourito
DH-0001,89,92,672.9791,1909.899,322.3199,2.07,18.3,11.5,38.9,3.12,8.43,3.64,0.05,0.13,-,-,1.49,0.65,0.3,0.27,0.11,0.13,0.03,10.95,8.841,2.07,Bebedourito
DH-0001,92,95,672.7508,1910.035,319.3318,1.51,18.5,16.6,32.2,2.74,10.3,5.62,0.07,0.1,-,-,1.23,0.81,0.26,0.11,0.05,0.05,0.01,10.08,12.252,1.51,Bebedourito
DH-0001,95,98,672.517,1910.165,316.3437,1.08,20.3,11.2,26.3,2.74,12.2,2.59,0.05,0.11,-,-,1.86,0.83,0.44,0.53,0.21,0.22,0.06,19.19,18.796,1.08,Bebedourito
DH-0001,98,101,672.2823,1910.286,313.3554,3.37,20.4,13.5,31.8,2.46,10.7,4.97,0.06,0.1,-,-,1.42,0.61,0.23,0.14,0.06,0.06,0.02,9.26,6.053,3.37,Bebedourito
DH-0001,101,104,672.0464,1910.403,310.3669,2.95,20.9,12.2,31.8,2.24,11.3,4.03,0.06,0.1,-,-,1.91,0.83,0.26,0.32,0.15,0.1,0.03,10.55,7.085,2.95,Bebedourito
DH-0001,104,107,671.8101,1910.518,307.3785,2.44,15.1,10.7,34.9,4.01,10.7,2.45,0.05,0.24,-,-,4.07,1.21,0.32,0.67,0.3,0.19,0.06,11.69,6.189,2.44,Bebedourito
DH-0001,107,110,671.5716,1910.632,304.3901,2.41,16.4,16,32.2,2.98,13,4.44,0.07,0.13,-,-,1.37,0.7,0.32,0.19,0.1,0.06,0.02,10.1,6.805,2.41,Bebedourito
DH-0001,110,113,671.3302,1910.745,301.402,2.57,19.4,14,31.8,2.88,12.3,3.29,0.05,0.1,-,-,1.13,0.91,0.26,0.13,0.06,0.06,0.01,11.22,7.549,2.57,Bebedourito
DH-0001,113,116,671.0893,1910.858,298.4138,1.92,18,15.4,35.9,3.15,11.5,4.8,0.06,0.11,-,-,1.2,0.47,0.26,0.16,0.07,0.06,0.02,7.53,9.375,1.92,Bebedourito
DH-0001,116,119,670.8504,1910.974,295.4256,1.49,13.4,15.1,34.9,3,13.3,3.34,0.06,0.12,-,-,1.87,0.84,0.35,0.55,0.25,0.17,0.05,11.03,8.993,1.49,Bebedourito
DH-0001,119,122,670.6095,1911.087,292.4374,0.86,15.5,16.5,36.6,3.29,13.6,4.19,0.07,0.12,-,-,1.24,0.61,0.26,0.19,0.09,0.06,0.02,6.66,18.023,0.86,Bebedourito
DH-0001,122,125,670.3678,1911.192,289.449,1.03,13.9,14.5,34.4,2.58,15.8,3.19,0.05,0.13,-,-,1.02,0.97,0.34,0.68,0.36,0.18,0.06,11.5,13.495,1.03,Bebedourito
DH-0001,125,126.65,670.1799,1911.268,287.1329,5.15,9.43,14.8,43.9,2.86,8.86,3,0.08,0.19,-,-,1.75,0.6,0.46,0.82,0.38,0.23,0.08,5.8,1.831,5.15,Bebedourito
DH-0001,126.65,128.15,670.0522,1911.317,285.5638,2.13,4.72,8.85,70.6,1.5,4.24,2.45,0.05,0.22,-,-,0.52,0.15,0.51,0.67,0.34,0.21,0.06,2.52,2.216,2.13,Bebedourito
DH-0001,128.15,132,669.8355,1911.4,282.8989,2.55,16.5,15,36.1,3.72,11.1,5.03,0.07,0.11,-,-,0.91,0.42,0.22,0.16,0.08,0.05,0.02,5.78,6.471,2.55,Bebedourito
DH-0001,132,135,669.5572,1911.503,279.4868,3.39,10.4,14.9,44.6,3.2,8.08,5.98,0.07,0.24,-,-,0.69,0.25,0.31,0.39,0.2,0.13,0.04,6.39,3.068,3.39,Bebedourito
DH-0001,135,139.45,669.2553,1911.616,275.7758,5.99,5.82,22.7,32.7,3.99,5.37,3.73,0.11,1.02,-,-,1.43,0.64,1.03,1.23,1.17,0.82,0.12,6.03,0.972,4.311,Bebedourito
DH-0001,139.45,143,668.9326,1911.732,271.7905,2.5,11.8,19.2,36.1,4.47,9.59,6.44,0.11,0.42,-,-,1.31,0.76,0.47,0.34,0.17,0.11,0.03,6.18,4.72,2.5,Bebedourito
DH-0001,143,145,668.7156,1911.815,269.0252,3.04,7.17,19.3,35.9,6.61,11.2,5.61,0.08,0.32,-,-,3.28,0.62,0.45,0.36,0.17,0.13,0.04,5.76,2.359,3.04,Bebedourito
DH-0001,145,148.6,668.4984,1911.9,266.235,4.4,13.7,10.7,30.6,2.57,11.3,2.49,0.05,1.29,-,-,2.59,0.7,0.45,1.23,1.17,0.57,0.12,11.76,3.114,4.4,Bebedourito
DH-0001,148.6,152,668.2259,1912.005,262.7472,1.21,16.6,13.9,33.4,3.79,12.9,5.76,0.09,0.3,-,-,2.11,0.88,0.28,0.26,0.14,0.07,0.02,9.47,13.719,1.21,Bebedourito
DH-0001,152,155,667.9774,1912.103,259.5583,0.97,20.9,13.2,33.1,5.5,9.48,4.33,0.06,0.23,-,-,2.31,0.55,0.19,0.07,0.04,0.02,0.01,9.34,21.546,0.97,Bebedourito
